Profil,Stok,ID,Panjang_mm,Kerf_mm
RHS50x100,1,1686891,5399.0,3
RHS50x100,1,1678283,482.012,3
RHS50x100,1,1686066,87.0,3
RHS50x100,2,1686898,5399.0,3
RHS50x100,2,1678360,482.012,3
RHS50x100,2,1686068,87.0,3
RHS50x100,3,1686904,5399.0,3
RHS50x100,3,1678389,482.012,3
RHS50x100,3,1686071,87.0,3
RHS50x100,4,1686910,5399.0,3
RHS50x100,4,1678413,482.012,3
RHS50x100,4,1686074,87.0,3
RHS50x100,5,1686916,5399.0,3
RHS50x100,5,1678425,482.012,3
RHS50x100,5,1686077,87.0,3
RHS50x100,6,1690058,5399.0,3
RHS50x100,6,1678437,482.012,3
RHS50x100,6,1686081,87.0,3
RHS50x100,7,1690060,5399.0,3
RHS50x100,7,1678461,482.012,3
RHS50x100,7,1686084,87.0,3
RHS50x100,8,1690070,5399.0,3
RHS50x100,8,1678473,482.012,3
RHS50x100,8,1686087,87.0,3
RHS50x100,9,1690072,5399.0,3
RHS50x100,9,1678485,482.012,3
RHS50x100,9,1686090,87.0,3
RHS50x100,10,1690083,5399.0,3
RHS50x100,10,1682244,482.012,3
RHS50x100,10,1686093,87.0,3
RHS50x100,11,1690085,5399.0,3
RHS50x100,11,1682266,482.012,3
RHS50x100,11,1686096,87.0,3
RHS50x100,12,1690096,5399.0,3
RHS50x100,12,1682288,482.012,3
RHS50x100,12,1686099,87.0,3
RHS50x100,13,1690098,5399.0,3
RHS50x100,13,1690193,482.012,3
RHS50x100,14,1690108,5399.0,3
RHS50x100,14,1685510S0,460.6,3
RHS50x100,15,1690110,5399.0,3
RHS50x100,15,1685510S1,460.6,3
RHS50x100,16,1685457,5284.0,3
RHS50x100,16,1685545S0,460.6,3
RHS50x100,17,1685465,5284.0,3
RHS50x100,17,1685545S1,460.6,3
RHS50x100,18,1685471,5284.0,3
RHS50x100,18,1685625S0,460.6,3
RHS50x100,19,1685486,5284.0,3
RHS50x100,19,1685625S1,460.6,3
RHS50x100,20,1687128,5284.0,3
RHS50x100,20,1685665S0,460.6,3
RHS50x100,21,1690642,5234.0,3
RHS50x100,21,1685665S1,460.6,3
RHS50x100,21,1688004,266.0,3
RHS50x100,22,1690645,5234.0,3
RHS50x100,22,1685706S0,460.6,3
RHS50x100,22,1688011,266.0,3
RHS50x100,23,1690648,5234.0,3
RHS50x100,23,1685706S1,460.6,3
RHS50x100,23,1685492S0,260.7,3
RHS50x100,24,1686889,4850.0,3
RHS50x100,24,1678286,982.006,3
RHS50x100,25,1686896,4850.0,3
RHS50x100,25,1678362,982.006,3
RHS50x100,26,1686902,4850.0,3
RHS50x100,26,1678391,982.006,3
RHS50x100,27,1686908,4850.0,3
RHS50x100,27,1678415,982.006,3
RHS50x100,28,1686914,4850.0,3
RHS50x100,28,1678427,982.006,3
RHS50x100,29,1690054,4850.0,3
RHS50x100,29,1678439,982.006,3
RHS50x100,30,1690056,4850.0,3
RHS50x100,30,1678463,982.006,3
RHS50x100,31,1690066,4850.0,3
RHS50x100,31,1678475,982.006,3
RHS50x100,32,1690068,4850.0,3
RHS50x100,32,1678487,982.006,3
RHS50x100,33,1690078,4850.0,3
RHS50x100,33,1682249,982.006,3
RHS50x100,34,1690092,4850.0,3
RHS50x100,34,1682271,982.006,3
RHS50x100,35,1690094,4850.0,3
RHS50x100,35,1682293,982.006,3
RHS50x100,36,1690104,4850.0,3
RHS50x100,36,1690197,982.006,3
RHS50x100,37,1690106,4850.0,3
RHS50x100,37,1690235,923.0,3
RHS50x100,38,1686893,4849.0,3
RHS50x100,38,1690238,923.0,3
RHS50x100,39,1686900,4849.0,3
RHS50x100,39,1690358,923.0,3
RHS50x100,40,1686906,4849.0,3
RHS50x100,40,1690361,923.0,3
RHS50x100,41,1686912,4849.0,3
RHS50x100,41,1690227,874.0,3
RHS50x100,41,1685492S1,260.7,3
RHS50x100,42,1686918,4849.0,3
RHS50x100,42,1690230,874.0,3
RHS50x100,42,1685502S0,260.7,3
RHS50x100,43,1690062,4849.0,3
RHS50x100,43,1690232,874.0,3
RHS50x100,43,1685502S1,260.7,3
RHS50x100,44,1690064,4849.0,3
RHS50x100,44,1690241,874.0,3
RHS50x100,44,1685524S0,260.7,3
RHS50x100,45,1690074,4849.0,3
RHS50x100,45,1690244,874.0,3
RHS50x100,45,1685524S1,260.7,3
RHS50x100,46,1690076,4849.0,3
RHS50x100,46,1690246,874.0,3
RHS50x100,46,1685536S0,260.7,3
RHS50x100,47,1690087,4849.0,3
RHS50x100,47,1690249,874.0,3
RHS50x100,47,1685536S1,260.7,3
RHS50x100,48,1690100,4849.0,3
RHS50x100,48,1690252,874.0,3
RHS50x100,48,1685564S0,260.7,3
RHS50x100,49,1690102,4849.0,3
RHS50x100,49,1690254,874.0,3
RHS50x100,49,1685564S1,260.7,3
RHS50x100,50,1690112,4849.0,3
RHS50x100,50,1690256,874.0,3
RHS50x100,50,1685576S0,260.7,3
RHS50x100,51,1690114,4849.0,3
RHS50x100,51,1690258,874.0,3
RHS50x100,51,1685576S1,260.7,3
RHS50x100,52,1685454,4754.0,3
RHS50x100,52,1690260,874.0,3
RHS50x100,52,1687999,298.0,3
RHS50x100,53,1685460,4754.0,3
RHS50x100,53,1690262,874.0,3
RHS50x100,53,1688008,298.0,3
RHS50x100,54,1685463,4754.0,3
RHS50x100,54,1690264,874.0,3
RHS50x100,54,1685616S0,260.7,3
RHS50x100,55,1685467,4754.0,3
RHS50x100,55,1690266,874.0,3
RHS50x100,55,1685616S1,260.7,3
RHS50x100,56,1685469,4754.0,3
RHS50x100,56,1690268,874.0,3
RHS50x100,56,1685644S0,260.7,3
RHS50x100,57,1685473,4754.0,3
RHS50x100,57,1690270,874.0,3
RHS50x100,57,1685644S1,260.7,3
RHS50x100,58,1685484,4754.0,3
RHS50x100,58,1690272,874.0,3
RHS50x100,58,1685656S0,260.7,3
RHS50x100,59,1685488,4754.0,3
RHS50x100,59,1690274,874.0,3
RHS50x100,59,1685656S1,260.7,3
RHS50x100,60,1690080,4649.0,3
RHS50x100,60,1690276,874.0,3
RHS50x100,60,1685743S0,460.6,3
RHS50x100,61,1690089,4649.0,3
RHS50x100,61,1690278,874.0,3
RHS50x100,61,1685743S1,460.6,3
RHS50x100,62,1685475,4629.0,3
RHS50x100,62,1690280,874.0,3
RHS50x100,62,1685817S0,460.6,3
RHS50x100,63,1685481,4629.0,3
RHS50x100,63,1690282,874.0,3
RHS50x100,63,1685817S1,460.6,3
RHS50x100,64,1694637,2593.0,3
RHS50x100,64,1694664,2593.0,3
RHS50x100,64,1685854S0,460.6,3
RHS50x100,64,1685684S0,260.7,3
RHS50x100,65,1678295,2481.988,3
RHS50x100,65,1678298,2481.988,3
RHS50x100,65,1690284,874.0,3
RHS50x100,66,1678385,2481.988,3
RHS50x100,66,1678387,2481.988,3
RHS50x100,66,1690286,874.0,3
RHS50x100,67,1678397,2481.988,3
RHS50x100,67,1678399,2481.988,3
RHS50x100,67,1690288,874.0,3
RHS50x100,68,1678411,2481.988,3
RHS50x100,68,1678421,2481.988,3
RHS50x100,68,1690290,874.0,3
RHS50x100,69,1678423,2481.988,3
RHS50x100,69,1678433,2481.988,3
RHS50x100,69,1690292,874.0,3
RHS50x100,70,1678435,2481.988,3
RHS50x100,70,1678445,2481.988,3
RHS50x100,70,1690294,874.0,3
RHS50x100,71,1678447,2481.988,3
RHS50x100,71,1678459,2481.988,3
RHS50x100,71,1690296,874.0,3
RHS50x100,72,1678469,2481.988,3
RHS50x100,72,1678471,2481.988,3
RHS50x100,72,1690298,874.0,3
RHS50x100,73,1678481,2481.988,3
RHS50x100,73,1678483,2481.988,3
RHS50x100,73,1690300,874.0,3
RHS50x100,74,1678493,2481.988,3
RHS50x100,74,1678495,2481.988,3
RHS50x100,74,1690302,874.0,3
RHS50x100,75,1682262,2481.988,3
RHS50x100,75,1682284,2481.988,3
RHS50x100,75,1690304,874.0,3
RHS50x100,76,1682306,2481.988,3
RHS50x100,76,1690209,2481.988,3
RHS50x100,76,1690306,874.0,3
RHS50x100,77,1690213,2481.988,3
RHS50x100,77,1690217,2481.988,3
RHS50x100,77,1690308,874.0,3
RHS50x100,78,1690221,2481.988,3
RHS50x100,78,1690225,2481.988,3
RHS50x100,78,1690310,874.0,3
RHS50x100,79,1694646,2479.0,3
RHS50x100,79,1694642,2475.0,3
RHS50x100,79,1690312,874.0,3
RHS50x100,80,1694669,2475.0,3
RHS50x100,80,1694628,2443.0,3
RHS50x100,80,1690314,874.0,3
RHS50x100,81,1694651,2364.0,3
RHS50x100,81,1694633,2330.0,3
RHS50x100,81,1690316,874.0,3
RHS50x100,81,1685684S1,260.7,3
RHS50x100,82,1694619,2255.0,3
RHS50x100,82,1694655,2255.0,3
RHS50x100,82,1690318,874.0,3
RHS50x100,82,1685854S1,460.6,3
RHS50x100,83,1694624,2158.0,3
RHS50x100,83,1694660,2158.0,3
RHS50x100,83,1694599,1524.0,3
RHS50x100,84,1678292,1981.994,3
RHS50x100,84,1678491,1981.994,3
RHS50x100,84,1690205,1981.994,3
RHS50x100,85,1678383,1981.994,3
RHS50x100,85,1678395,1981.994,3
RHS50x100,85,1678419,1981.994,3
RHS50x100,86,1678431,1981.994,3
RHS50x100,86,1678443,1981.994,3
RHS50x100,86,1678467,1981.994,3
RHS50x100,87,1678479,1981.994,3
RHS50x100,87,1682257,1981.994,3
RHS50x100,87,1682279,1981.994,3
RHS50x100,88,1682301,1981.994,3
RHS50x100,88,1690386,1929.0,3
RHS50x100,88,1690396,1929.0,3
RHS50x100,89,1690391,1928.0,3
RHS50x100,89,1690400,1928.0,3
RHS50x100,89,1690651,1694.0,3
RHS50x100,89,1685697S0,260.7,3
RHS50x100,90,1694607,1524.0,3
RHS50x100,90,1694611,1524.0,3
RHS50x100,90,1694615,1524.0,3
RHS50x100,90,1690320,874.0,3
RHS50x100,90,1685895S0,460.6,3
RHS50x100,91,1678289,1482.0,3
RHS50x100,91,1678364,1482.0,3
RHS50x100,91,1678393,1482.0,3
RHS50x100,91,1678417,1482.0,3
RHS50x100,92,1678429,1482.0,3
RHS50x100,92,1678441,1482.0,3
RHS50x100,92,1678465,1482.0,3
RHS50x100,92,1678477,1482.0,3
RHS50x100,93,1678489,1482.0,3
RHS50x100,93,1682253,1482.0,3
RHS50x100,93,1682275,1482.0,3
RHS50x100,93,1682297,1482.0,3
RHS50x100,94,1690201,1482.0,3
RHS50x100,94,1690322,874.0,3
RHS50x100,94,1690324,874.0,3
RHS50x100,94,1690326,874.0,3
RHS50x100,94,1690328,874.0,3
RHS50x100,94,1690330,874.0,3
RHS50x100,95,1690332,874.0,3
RHS50x100,95,1690334,874.0,3
RHS50x100,95,1690336,874.0,3
RHS50x100,95,1690338,874.0,3
RHS50x100,95,1690340,874.0,3
RHS50x100,95,1690342,874.0,3
RHS50x100,95,1685895S1,460.6,3
RHS50x100,95,1685697S1,260.7,3
RHS50x100,96,1690344,874.0,3
RHS50x100,96,1690346,874.0,3
RHS50x100,96,1690348,874.0,3
RHS50x100,96,1690350,874.0,3
RHS50x100,96,1690352,874.0,3
RHS50x100,96,1690354,874.0,3
RHS50x100,96,1685932S0,460.6,3
RHS50x100,96,1685725S0,260.7,3
RHS50x100,97,1690356,874.0,3
RHS50x100,97,1690364,874.0,3
RHS50x100,97,1685932S1,460.6,3
RHS50x100,97,1685969S0,460.6,3
RHS50x100,97,1685969S1,460.6,3
RHS50x100,97,1686006S0,460.6,3
RHS50x100,97,1686006S1,460.6,3
RHS50x100,97,1686043S0,460.6,3
RHS50x100,97,1686043S1,460.6,3
RHS50x100,97,1686482S0,460.6,3
RHS50x100,97,1686482S1,460.6,3
RHS50x100,98,1686482S2,460.6,3
RHS50x100,98,1686482S3,460.6,3
RHS50x100,98,1686526S0,460.6,3
RHS50x100,98,1686526S1,460.6,3
RHS50x100,98,1686557S0,460.6,3
RHS50x100,98,1686557S1,460.6,3
RHS50x100,98,1686591S0,460.6,3
RHS50x100,98,1686591S1,460.6,3
RHS50x100,98,1686640S0,460.6,3
RHS50x100,98,1686640S1,460.6,3
RHS50x100,98,1685725S1,260.7,3
RHS50x100,98,1685734S0,260.7,3
RHS50x100,98,1685734S1,260.7,3
RHS50x100,98,1685762S0,260.7,3
