Kode,Kategori,Uraian,Volume,Satuan,Harga,Jumlah,Basis,Status,Sumber,Pemasok,Spesifikasi,Dasar harga
M01,Material,"RHS 50x100x2,3 / 6 m",101,btg,434500,43884500,Rangka native165 termasuk20diagonal + kolom80 + usulan stringer tangga; pola potong gabungan FFD.,Katalog / penyangga tangga usulan,https://www.smsperkasa.com/produk/besi-hollow-hitam,,,
M02,Material,SHS 40x40x2 / 6 m,29,btg,194800,5649200,"27 stok pengaku tapak + 2 stok rail atas 8,425 m.",Katalog,https://www.smsperkasa.com/produk/besi-hollow-hitam,,,
M03,Material,"SHS 40x40x2,8 / 6 m",18,btg,277000,4986000,"85 tiang railing 97,498 m + pembulatan dan sisa.",Katalog,https://www.smsperkasa.com/produk/besi-hollow-hitam,,,
M04,Material,Bordes dek 4 mm / 1200x2400,32,lbr,1273000,40736000,"82,345 m2 + allowance nesting 10%; motif belum ditimbang.",Harga acuan 07.09; nesting allowance,https://dutamerpati.com/distributor/plat-bordes-40mm-1200x-2400-di-babat,,,
M05,Material,Pelat tekuk tangga 3 mm / 1200x2400,8,lbr,860000,6880000,56 blank; 16.484 m2; 2 tekukan 50 mm. Pola nesting tersedia.,Katalog 4x8; pesan usable >=1200x2400,https://www.smsperkasa.com/produk/plat-besi-hitam,,,
M06,Material,Pelat penutup seluruh riser dan sisi 2 mm,26,lbr,578000,15028000,"310panel; 62.977696m2; nesting kerf3mm, trim10mm; belakang/bawah terbuka.",Katalog / dimensi usulan,https://www.smsperkasa.com/produk/plat-besi-hitam,,,
M07,Material,Pelat sambungan 6 mm,5,lbr,1756000,8780000,232pasangan kupingan tangga +274pasangan rangka90x120 +40buhul200x200; cadangan10%.16ikatan beton tercakup M17.,Katalog / sambungan usulan,https://www.smsperkasa.com/produk/plat-besi-hitam,,,
M08,Material,Base plate 8 mm / stok,1,lbr,2187000,2187000,80 x150x150; sisa stok untuk detail seketebalan.,Katalog,https://www.smsperkasa.com/produk/plat-besi-hitam,,,
M09,Material,Papan pinus 40 mm + sandaran,1.637,m3,6500000,10640500,Volume pinus Revit + panel sandaran arsip;10% sisa. Harga budget.,Allowance anggaran,,,,
M10,Material,Karet dudukan 150x150x10,80,bh,18000,1440000,"80 dudukan, tanpa angkur ke pelat LT4.",Allowance anggaran,,,,
