Batang_stok,Panjang_stok_mm,ID_potongan,Panjang_potongan_mm,Sumber,Kg_stok_1.6_sekali_per_batang,Kg_stok_2.0_sekali_per_batang,Kg_stok_2.3_sekali_per_batang,Alokasi_kg_potongan_2.3
1,6000,1686891,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
1,6000,1678283,482.0121,Revit,,,,2.6248928657012676
1,6000,1686066,87.0,Revit,,,,0.47377572491196523
2,6000,1686898,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
2,6000,1678360,482.0121,Revit,,,,2.6248928657012676
2,6000,1686068,87.0,Revit,,,,0.47377572491196523
3,6000,1686904,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
3,6000,1678389,482.0121,Revit,,,,2.6248928657012676
3,6000,1686071,87.0,Revit,,,,0.47377572491196523
4,6000,1686910,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
4,6000,1678413,482.0121,Revit,,,,2.6248928657012676
4,6000,1686074,87.0,Revit,,,,0.47377572491196523
5,6000,1686916,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
5,6000,1678425,482.0121,Revit,,,,2.6248928657012676
5,6000,1686077,87.0,Revit,,,,0.47377572491196523
6,6000,1690058,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
6,6000,1678437,482.0121,Revit,,,,2.6248928657012676
6,6000,1686081,87.0,Revit,,,,0.47377572491196523
7,6000,1690060,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
7,6000,1678461,482.0121,Revit,,,,2.6248928657012676
7,6000,1686084,87.0,Revit,,,,0.47377572491196523
8,6000,1690070,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
8,6000,1678473,482.0121,Revit,,,,2.6248928657012676
8,6000,1686087,87.0,Revit,,,,0.47377572491196523
9,6000,1690072,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
9,6000,1678485,482.0121,Revit,,,,2.6248928657012676
9,6000,1686090,87.0,Revit,,,,0.47377572491196523
10,6000,1690083,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
10,6000,1682244,482.0121,Revit,,,,2.6248928657012676
10,6000,1686093,87.0,Revit,,,,0.47377572491196523
11,6000,1690085,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
11,6000,1682266,482.0121,Revit,,,,2.6248928657012676
11,6000,1686096,87.0,Revit,,,,0.47377572491196523
12,6000,1690096,5399.0001,Revit,22.61,28.26,32.5,29.401331409386767
12,6000,1682288,482.0121,Revit,,,,2.6248928657012676
12,6000,1686099,87.0,Revit,,,,0.47377572491196523
13,6000,1690098,5399.0001,Revit,22.61,28.26,32.5,29.836276127884055
13,6000,1690193,482.0121,Revit,,,,2.6637238721159457
14,6000,1690108,5399.0001,Revit,22.61,28.26,32.5,29.945303487743594
14,6000,1685510S0,460.6,Usulan tangga,,,,2.554696512256405
15,6000,1690110,5399.0001,Revit,22.61,28.26,32.5,29.945303487743594
15,6000,1685510S1,460.6,Usulan tangga,,,,2.554696512256405
16,6000,1685457,5284.0,Revit,22.61,28.26,32.5,29.894161472657913
16,6000,1685545S0,460.6,Usulan tangga,,,,2.6058385273420845
17,6000,1685465,5284.0,Revit,22.61,28.26,32.5,29.894161472657913
