versi,tebal_mm,bentang_maks_mm,kolom,batang_RHS,kg_beli_RHS,RAB_rendah_Rp,RAB_tinggi_Rp,rasio_joist,rasio_bearer,rasio_kolom_K1,status
model-existing,2.3,2040,80,101,3282.5,240204729,240204729,0.406255,0.83402907,0.5585337,BELUM DAPAT DITETAPKAN
h20-existing,2.0,2040,80,101,2854.26,231514688,231514688,0.46017979,0.94473501,0.64335035,BELUM DAPAT DITETAPKAN
h16-existing,1.6,2040,80,101,2283.61,220856996,220856996,0.56383952,1.15754526,0.8389604,BELUM DAPAT DITETAPKAN
model-1770,2.3,1770,86,103,3347.5,243463729,244963729,0.33288303,0.72364287,0.47637877,BELUM DAPAT DITETAPKAN
h20-1770,2.0,1770,86,103,2910.78,234601608,236101608,0.37706869,0.81969655,0.54692142,BELUM DAPAT DITETAPKAN
h16-1770,1.6,1770,86,103,2328.83,223732873,225232873,0.46200688,1.00434074,0.70848374,BELUM DAPAT DITETAPKAN
model-1500,2.3,1290,128,121,3932.5,268794729,280794729,0.23226404,0.52740074,0.25799901,BELUM DAPAT DITETAPKAN
h20-1500,2.0,1290,128,121,3419.46,258383888,270383888,0.26309391,0.59740596,0.38565284,BELUM DAPAT DITETAPKAN
h16-1500,1.6,1290,128,121,2735.81,245615762,257615762,0.32235823,0.73197715,0.49482397,BELUM DAPAT DITETAPKAN
model-1250,2.3,1020.0,140,126,4095.0,275942229,290942229,0.17904924,0.41701454,0.19964696,BELUM DAPAT DITETAPKAN
h20-1250,2.0,1020.0,140,126,3560.76,265101188,280101188,0.20281558,0.4723675,0.22814,BELUM DAPAT DITETAPKAN
h16-1250,1.6,1020.0,140,126,2848.86,251805454,266805454,0.24850165,0.57877263,0.38300203,BELUM DAPAT DITETAPKAN
model-1000,2.3,885.0,146,129,4192.5,279830729,296330729,0.15335535,0.36182144,0.17143044,BELUM DAPAT DITETAPKAN
h20-1000,2.0,885.0,146,129,3645.54,268731568,285231568,0.17371118,0.40984828,0.19558619,BELUM DAPAT DITETAPKAN
h16-1000,1.6,885.0,146,129,2916.69,255119269,271619269,0.21284122,0.50217037,0.24806159,BELUM DAPAT DITETAPKAN
model-885,2.3,885.0,146,129,4192.5,279830729,296330729,0.15335535,0.36182144,0.17143044,BELUM DAPAT DITETAPKAN
h20-885,2.0,885.0,146,129,3645.54,268731568,285231568,0.17371118,0.40984828,0.19558619,BELUM DAPAT DITETAPKAN
h16-885,1.6,885.0,146,129,2916.69,255119269,271619269,0.21284122,0.50217037,0.24806159,BELUM DAPAT DITETAPKAN
