id,name,unit,excel_qty,excel_unit,net_qty,purchase_qty,verification,basis
X01,Kolom tribun,kg,637,Kg,686.95870361,738.94659187,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",80 elemen; panjang 133.559800 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
X02,Balok tepi tier,kg,416,Kg,379.12400549,409.49441845,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",15 elemen; panjang 73.710000 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
X03,Pengaku longitudinal dek,kg,416,Kg,1162.77553756,1243.32282044,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",45 elemen; panjang 226.069001 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
X04,Rangka belakang,kg,98,Kg,89.47552821,95.11486506,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",4 elemen; panjang 17.396000 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
X05,Strut ke kolom beton,kg,53,Kg,11.17157882,11.8546678,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",16 elemen; panjang 2.171999 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang. Angkur dan pelat ikatan beton dihitung pada item tersendiri.
X06,Bracing X,kg,62,Kg,218.02073262,235.69913457,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",20 elemen; panjang 42.388000 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
B01,Balok silang penumpu dek,kg,,,293.2077378,314.04168361,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",65 elemen; panjang 57.005998 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang.
B02,Penyangga tangga / usulan,kg,,,194.61493102,234.02581821,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan",116 elemen; panjang 37.837400 m. Berat pembelian dialokasikan dari stok bersama menurut panjang potongan pada setiap batang. Penyangga belum menjadi elemen native dan jalur tumpuannya belum final.
X07,Rail atas / elemen horizontal,kg,435,Kg,19.4250817,30.14,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog",10 elemen; 8.425400 m; 2 stok ×6 m. Family aktif masih M_W Shapes; volume family tidak dipakai sebagai berat hollow.
X08,Tiang railing dan pegangan,kg,313,Kg,303.42811106,379.8,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog","85 elemen; 97.498388 m; 18 stok. Harga 2,8 mm mengikuti katalog R04 karena spesifikasi Excel 2 mm berbeda."
X09,Pelat dek,kg,2850,Kg,2585.63454241,2893.824,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah,"Area 30 floor=82.345049121 m²; pembelian 32 lembar 1200×2400, allowance 10%. Berat motif bordes belum terukur."
X10,"Riser, fascia dan return",kg,1000,Kg,733.46923624,872.08933196,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native,"Luas 46.717786 m². Alokasi proporsional dari 26 lembar bersama penutup sisi; bukan tambahan terhadap 26 lembar. Stok tepat 1200×2400 mm, t=2 mm; 26 lembar bersama = 1175.616 kg teoritis (7850 kg/m³). Bukan berat timbang; bukan lembar 4×8 kaki."
X11,Pelat tekuk tangga,kg,982,Kg,375.88520065,542.592,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native,"56 bidang/176 bagian native;8 lembar. Penyangga RHS dan pengaku SHS dipisah agar tidak terhitung dua kali. Stok tepat 1200×2400 mm, t=3 mm; 8 lembar bersama = 542.592 kg teoritis (7850 kg/m³). Bukan berat timbang; bukan lembar 4×8 kaki."
B03,Pengaku tapak tangga / usulan,kg,,,329.69194673,406.89,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan",143.000000 m dari usulan pengaku tapak;27 stok. Belum menjadi rangka native.
