id,pekerjaan,material,volume_beli,satuan,upah_per_satuan,material_per_satuan,jumlah_upah,jumlah_material,total,kelompok,status_verifikasi
X01,Kolom tribun,"Hollow 50×100×2,3 mm",738.946591868994,kg,6000.0,13369.23076923077,4433680,9879148,14312828,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X02,Balok tepi tier,"Hollow 50×100×2,3 mm",409.4944184499064,kg,6000.0,13369.23076923077,2456967,5474625,7931592,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X03,Pengaku longitudinal dek,"Hollow 50×100×2,3 mm",1243.3228204402972,kg,6000.0,13369.23076923077,7459937,16622270,24082207,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X04,Rangka belakang,"Hollow 50×100×2,3 mm",95.11486505851849,kg,6000.0,13369.23076923077,570689,1271613,1842302,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X05,Strut ke kolom beton,"Hollow 50×100×2,3 mm",11.854667798418513,kg,6000.0,13369.23076923077,71128,158488,229616,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X06,Bracing X,"Hollow 50×100×2,3 mm",235.69913456623027,kg,6000.0,13369.23076923077,1414195,3151116,4565311,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
B01,Balok silang penumpu dek,"Hollow 50×100×2,3 mm",314.04168360872893,kg,6000.0,13369.23076923077,1884250,4198496,6082746,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
B02,Penyangga tangga / usulan,"Hollow 50×100×2,3 mm",234.02581820890595,kg,6000.0,13369.23076923077,1404155,3128745,4532900,Dasar,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan"
X07,Rail atas / elemen horizontal,SHS 40×40×2 mm,30.14,kg,6000.0,12986.666666666666,180840,391418,572258,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X08,Tiang railing dan pegangan,"SHS 40×40×2,8 mm",379.8,kg,6000.0,13127.962085308056,2278800,4986000,7264800,Dasar,"Panjang model dibaca ulang; kg bersih penampang, kg beli katalog"
X09,Pelat dek,Bordes 4 mm,2893.8239999999996,kg,5000.0,12937.0,14469120,37437401,51906521,Dasar,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah
X10,"Riser, fascia dan return",Pelat polos 2 mm,872.0893319645444,kg,6000.0,12296.296296296296,5232536,10723469,15956005,Dasar,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native
X11,Pelat tekuk tangga,Pelat polos 3 mm,542.592,kg,6000.0,12285.714285714286,3255552,6666130,9921682,Dasar,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native
B03,Pengaku tapak tangga / usulan,SHS 40×40×2 mm,406.89,kg,6000.0,12986.666666666666,2441340,5284145,7725485,Dasar,"Usulan atau allowance; aritmetika diperiksa, kebutuhan final belum ditetapkan"
X12,Penutup kedua sisi,Pelat polos 2 mm,303.5266680354556,kg,6000.0,12296.296296296296,1821160,3732254,5553414,Dasar,Geometri dan pola potong arsip; bukan pembacaan ulang semua pelat native
X13,Base plate,Pelat 150×150×8 mm,180.86399999999998,kg,6000.0,11695.187165775402,1085184,2115238,3200422,Dasar,Jumlah/luas/volume model dibaca ulang; stok atau allowance dihitung terpisah
