stok_acuan,id_potongan,panjang_model_mm,asal,profil_acuan,panjang_final_disetujui_mm,status
1,1686891,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
1,1678283,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
1,1686066,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
2,1686898,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
2,1678360,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
2,1686068,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
3,1686904,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
3,1678389,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
3,1686071,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
4,1686910,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
4,1678413,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
4,1686074,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
5,1686916,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
5,1678425,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
5,1686077,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
6,1690058,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
6,1678437,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
6,1686081,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
7,1690060,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
7,1678461,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
7,1686084,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
8,1690070,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
8,1678473,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
8,1686087,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
9,1690072,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
9,1678485,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
9,1686090,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
10,1690083,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
10,1682244,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
10,1686093,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
11,1690085,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
11,1682266,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
11,1686096,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
12,1690096,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
12,1682288,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
12,1686099,86.9999784,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
13,1690098,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
13,1690193,482.0120800000004,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
14,1690108,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
14,1685510S0,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
15,1690110,5399.000124,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
15,1685510S1,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
16,1685457,5283.999998400001,Model,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
16,1685545S0,460.6,Usulan belum dimodelkan,RHS50x100x2.3,,UNTUK PEMERIKSAAN INSINYUR - BELUM UNTUK DIPOTONG / DIFABRIKASI
