profil,stok,id,komponen,panjang_mm,status
RHS50x100,1,1686891,X03,5399.0001,studi - belum fabrikasi
RHS50x100,1,SC-L1-BX0,X06,502.2041,studi - belum fabrikasi
RHS50x100,2,1686898,X03,5399.0001,studi - belum fabrikasi
RHS50x100,2,SC-L1-BX1,X06,502.2041,studi - belum fabrikasi
RHS50x100,3,1686904,X03,5399.0001,studi - belum fabrikasi
RHS50x100,3,SC-R1-BX0,X06,502.2041,studi - belum fabrikasi
RHS50x100,4,1686910,X03,5399.0001,studi - belum fabrikasi
RHS50x100,4,SC-R1-BX1,X06,502.2041,studi - belum fabrikasi
RHS50x100,5,1686916,X03,5399.0001,studi - belum fabrikasi
RHS50x100,5,1678283,X01,482.0119,studi - belum fabrikasi
RHS50x100,6,1690058,X03,5399.0001,studi - belum fabrikasi
RHS50x100,6,1678360,X01,482.0119,studi - belum fabrikasi
RHS50x100,7,1690060,X03,5399.0001,studi - belum fabrikasi
RHS50x100,7,1678389,X01,482.0119,studi - belum fabrikasi
RHS50x100,8,1690070,X03,5399.0001,studi - belum fabrikasi
RHS50x100,8,1678413,X01,482.0119,studi - belum fabrikasi
RHS50x100,9,1690072,X03,5399.0001,studi - belum fabrikasi
RHS50x100,9,1678425,X01,482.0119,studi - belum fabrikasi
RHS50x100,10,1690083,X03,5399.0001,studi - belum fabrikasi
RHS50x100,10,1678437,X01,482.0119,studi - belum fabrikasi
RHS50x100,11,1690085,X03,5399.0001,studi - belum fabrikasi
RHS50x100,11,1678461,X01,482.0119,studi - belum fabrikasi
RHS50x100,12,1690096,X03,5399.0001,studi - belum fabrikasi
RHS50x100,12,1678473,X01,482.0119,studi - belum fabrikasi
RHS50x100,13,1690098,X03,5399.0001,studi - belum fabrikasi
RHS50x100,13,1678485,X01,482.0119,studi - belum fabrikasi
RHS50x100,14,1690108,X03,5399.0001,studi - belum fabrikasi
RHS50x100,14,1682244,X01,482.0119,studi - belum fabrikasi
RHS50x100,15,1690110,X03,5399.0001,studi - belum fabrikasi
RHS50x100,15,1682266,X01,482.0119,studi - belum fabrikasi
RHS50x100,16,1685457,X02,5284.0,studi - belum fabrikasi
RHS50x100,16,SC-L2-P00,I01,646.0,studi - belum fabrikasi
RHS50x100,17,1685465,X02,5284.0,studi - belum fabrikasi
RHS50x100,17,SC-L2-P01,I01,646.0,studi - belum fabrikasi
RHS50x100,18,1685471,X02,5284.0,studi - belum fabrikasi
RHS50x100,18,SC-L2-P10,I01,646.0,studi - belum fabrikasi
RHS50x100,19,1685486,X02,5284.0,studi - belum fabrikasi
RHS50x100,19,SC-L2-P11,I01,646.0,studi - belum fabrikasi
RHS50x100,20,1687128,X02,5284.0,studi - belum fabrikasi
RHS50x100,20,SC-R2-P00,I01,646.0,studi - belum fabrikasi
RHS50x100,21,1690642,X04,5234.0,studi - belum fabrikasi
RHS50x100,21,SC-L2-BX0,X06,741.0864,studi - belum fabrikasi
RHS50x100,22,1690645,X04,5234.0,studi - belum fabrikasi
RHS50x100,22,SC-L2-BX1,X06,741.0864,studi - belum fabrikasi
RHS50x100,23,1690648,X04,5234.0,studi - belum fabrikasi
RHS50x100,23,SC-R2-BX0,X06,741.0864,studi - belum fabrikasi
RHS50x100,24,1686889,X03,4849.9999,studi - belum fabrikasi
RHS50x100,24,SC-L3-BY0,X06,1093.9369,studi - belum fabrikasi
RHS50x100,25,1686896,X03,4849.9999,studi - belum fabrikasi
RHS50x100,25,SC-L3-BY1,X06,1093.9369,studi - belum fabrikasi
RHS50x100,26,1686902,X03,4849.9999,studi - belum fabrikasi
RHS50x100,26,SC-R3-BY0,X06,1093.9369,studi - belum fabrikasi
RHS50x100,27,1686908,X03,4849.9999,studi - belum fabrikasi
RHS50x100,27,SC-R3-BY1,X06,1093.9369,studi - belum fabrikasi
RHS50x100,28,1686914,X03,4849.9999,studi - belum fabrikasi
RHS50x100,28,I1-G0,I02,1000,studi - belum fabrikasi
RHS50x100,29,1690054,X03,4849.9999,studi - belum fabrikasi
RHS50x100,29,I1-G1,I02,1000,studi - belum fabrikasi
RHS50x100,30,1690056,X03,4849.9999,studi - belum fabrikasi
RHS50x100,30,I2-G0,I02,1000,studi - belum fabrikasi
RHS50x100,31,1690066,X03,4849.9999,studi - belum fabrikasi
RHS50x100,31,I2-G1,I02,1000,studi - belum fabrikasi
RHS50x100,32,1690068,X03,4849.9999,studi - belum fabrikasi
RHS50x100,32,I3-G0,I02,1000,studi - belum fabrikasi
RHS50x100,33,1690078,X03,4849.9999,studi - belum fabrikasi
RHS50x100,33,I3-G1,I02,1000,studi - belum fabrikasi
RHS50x100,34,1690092,X03,4849.9999,studi - belum fabrikasi
RHS50x100,34,I4-G0,I02,1000,studi - belum fabrikasi
RHS50x100,35,1690094,X03,4849.9999,studi - belum fabrikasi
