profil,stok,id,komponen,panjang_mm,status
RHS50x100,1,1686891,X03,5399.0001,studi - belum fabrikasi
RHS50x100,1,1678283,X01,482.0119,studi - belum fabrikasi
RHS50x100,1,1686090,X05,87.0,studi - belum fabrikasi
RHS50x100,2,1686898,X03,5399.0001,studi - belum fabrikasi
RHS50x100,2,1678360,X01,482.0119,studi - belum fabrikasi
RHS50x100,2,1686093,X05,87.0,studi - belum fabrikasi
RHS50x100,3,1686904,X03,5399.0001,studi - belum fabrikasi
RHS50x100,3,1678389,X01,482.0119,studi - belum fabrikasi
RHS50x100,3,1686096,X05,87.0,studi - belum fabrikasi
RHS50x100,4,1686910,X03,5399.0001,studi - belum fabrikasi
RHS50x100,4,1678413,X01,482.0119,studi - belum fabrikasi
RHS50x100,4,1686099,X05,87.0,studi - belum fabrikasi
RHS50x100,5,1686916,X03,5399.0001,studi - belum fabrikasi
RHS50x100,5,1678425,X01,482.0119,studi - belum fabrikasi
RHS50x100,6,1690058,X03,5399.0001,studi - belum fabrikasi
RHS50x100,6,1678437,X01,482.0119,studi - belum fabrikasi
RHS50x100,7,1690060,X03,5399.0001,studi - belum fabrikasi
RHS50x100,7,1678461,X01,482.0119,studi - belum fabrikasi
RHS50x100,8,1690070,X03,5399.0001,studi - belum fabrikasi
RHS50x100,8,1678473,X01,482.0119,studi - belum fabrikasi
RHS50x100,9,1690072,X03,5399.0001,studi - belum fabrikasi
RHS50x100,9,1678485,X01,482.0119,studi - belum fabrikasi
RHS50x100,10,1690083,X03,5399.0001,studi - belum fabrikasi
RHS50x100,10,1682244,X01,482.0119,studi - belum fabrikasi
RHS50x100,11,1690085,X03,5399.0001,studi - belum fabrikasi
RHS50x100,11,1682266,X01,482.0119,studi - belum fabrikasi
RHS50x100,12,1690096,X03,5399.0001,studi - belum fabrikasi
RHS50x100,12,1682288,X01,482.0119,studi - belum fabrikasi
RHS50x100,13,1690098,X03,5399.0001,studi - belum fabrikasi
RHS50x100,13,1690193,X01,482.0119,studi - belum fabrikasi
RHS50x100,14,1690108,X03,5399.0001,studi - belum fabrikasi
RHS50x100,14,1685510S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,15,1690110,X03,5399.0001,studi - belum fabrikasi
RHS50x100,15,1685510S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,16,1685457,X02,5284.0,studi - belum fabrikasi
RHS50x100,16,1685625S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,17,1685465,X02,5284.0,studi - belum fabrikasi
RHS50x100,17,1685625S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,18,1685471,X02,5284.0,studi - belum fabrikasi
RHS50x100,18,1685706S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,19,1685486,X02,5284.0,studi - belum fabrikasi
RHS50x100,19,1685706S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,20,1687128,X02,5284.0,studi - belum fabrikasi
RHS50x100,20,1685817S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,21,1690642,X04,5234.0,studi - belum fabrikasi
RHS50x100,21,1685817S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,21,I1-P00,I01,285,studi - belum fabrikasi
RHS50x100,22,1690645,X04,5234.0,studi - belum fabrikasi
RHS50x100,22,1685895S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,22,I1-P01,I01,285,studi - belum fabrikasi
RHS50x100,23,1690648,X04,5234.0,studi - belum fabrikasi
RHS50x100,23,1685895S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,23,I1-P10,I01,285,studi - belum fabrikasi
RHS50x100,24,1686889,X03,4849.9999,studi - belum fabrikasi
RHS50x100,24,I1-G0,I02,1000,studi - belum fabrikasi
RHS50x100,25,1686896,X03,4849.9999,studi - belum fabrikasi
RHS50x100,25,I1-G1,I02,1000,studi - belum fabrikasi
RHS50x100,26,1686902,X03,4849.9999,studi - belum fabrikasi
RHS50x100,26,I2-G0,I02,1000,studi - belum fabrikasi
RHS50x100,27,1686908,X03,4849.9999,studi - belum fabrikasi
RHS50x100,27,I2-G1,I02,1000,studi - belum fabrikasi
RHS50x100,28,1686914,X03,4849.9999,studi - belum fabrikasi
RHS50x100,28,I3-G0,I02,1000,studi - belum fabrikasi
RHS50x100,29,1690054,X03,4849.9999,studi - belum fabrikasi
RHS50x100,29,I3-G1,I02,1000,studi - belum fabrikasi
RHS50x100,30,1690056,X03,4849.9999,studi - belum fabrikasi
RHS50x100,30,I4-G0,I02,1000,studi - belum fabrikasi
RHS50x100,31,1690066,X03,4849.9999,studi - belum fabrikasi
RHS50x100,31,I4-G1,I02,1000,studi - belum fabrikasi
RHS50x100,32,1690068,X03,4849.9999,studi - belum fabrikasi
RHS50x100,32,I5-G0,I02,1000,studi - belum fabrikasi
RHS50x100,33,1690078,X03,4849.9999,studi - belum fabrikasi
RHS50x100,33,I5-G1,I02,1000,studi - belum fabrikasi
RHS50x100,34,1690092,X03,4849.9999,studi - belum fabrikasi
RHS50x100,34,1678286,X01,982.0059,studi - belum fabrikasi
RHS50x100,35,1690094,X03,4849.9999,studi - belum fabrikasi
RHS50x100,35,1678362,X01,982.0059,studi - belum fabrikasi
RHS50x100,36,1690104,X03,4849.9999,studi - belum fabrikasi
RHS50x100,36,1678391,X01,982.0059,studi - belum fabrikasi
RHS50x100,37,1690106,X03,4849.9999,studi - belum fabrikasi
RHS50x100,37,1678415,X01,982.0059,studi - belum fabrikasi
RHS50x100,38,1686893,X03,4849.0001,studi - belum fabrikasi
RHS50x100,38,1678427,X01,982.0059,studi - belum fabrikasi
RHS50x100,39,1686900,X03,4849.0001,studi - belum fabrikasi
RHS50x100,39,1678439,X01,982.0059,studi - belum fabrikasi
RHS50x100,40,1686906,X03,4849.0001,studi - belum fabrikasi
RHS50x100,40,1678463,X01,982.0059,studi - belum fabrikasi
RHS50x100,41,1686912,X03,4849.0001,studi - belum fabrikasi
RHS50x100,41,1678475,X01,982.0059,studi - belum fabrikasi
RHS50x100,42,1686918,X03,4849.0001,studi - belum fabrikasi
RHS50x100,42,1678487,X01,982.0059,studi - belum fabrikasi
RHS50x100,43,1690062,X03,4849.0001,studi - belum fabrikasi
RHS50x100,43,1682249,X01,982.0059,studi - belum fabrikasi
RHS50x100,44,1690064,X03,4849.0001,studi - belum fabrikasi
RHS50x100,44,1682271,X01,982.0059,studi - belum fabrikasi
RHS50x100,45,1690074,X03,4849.0001,studi - belum fabrikasi
RHS50x100,45,1682293,X01,982.0059,studi - belum fabrikasi
RHS50x100,46,1690076,X03,4849.0001,studi - belum fabrikasi
RHS50x100,46,1690197,X01,982.0059,studi - belum fabrikasi
RHS50x100,47,1690087,X03,4849.0001,studi - belum fabrikasi
RHS50x100,47,1690235,B01,922.9999,studi - belum fabrikasi
RHS50x100,48,1690100,X03,4849.0001,studi - belum fabrikasi
RHS50x100,48,1690238,B01,922.9999,studi - belum fabrikasi
RHS50x100,49,1690102,X03,4849.0001,studi - belum fabrikasi
RHS50x100,49,1690358,B01,922.9999,studi - belum fabrikasi
RHS50x100,50,1690112,X03,4849.0001,studi - belum fabrikasi
RHS50x100,50,1690361,B01,922.9999,studi - belum fabrikasi
RHS50x100,51,1690114,X03,4849.0001,studi - belum fabrikasi
RHS50x100,51,1690227,B01,874.0,studi - belum fabrikasi
RHS50x100,51,1688004,X05,265.9999,studi - belum fabrikasi
RHS50x100,52,1685454,X02,4754.0,studi - belum fabrikasi
RHS50x100,52,1690230,B01,874.0,studi - belum fabrikasi
RHS50x100,52,1687999,X05,297.9999,studi - belum fabrikasi
